Family,verbatimScientificName,TaxonURI
Miniopteridae,Miniopterus schreibersii,https://www.gbif.org/species/9796816
Molossidae,Tadarida teniotis,https://www.gbif.org/species/2433009
Pteropodidae,Rousettus aegyptiacus,https://www.gbif.org/species/2432953
Rhinolophidae,Rhinolophus blasii,https://www.gbif.org/species/2432666
Rhinolophidae,Rhinolophus euryale,https://www.gbif.org/species/2432621
Rhinolophidae,Rhinolophus ferrumequinum,https://www.gbif.org/species/2432655
Rhinolophidae,Rhinolophus hipposideros,https://www.gbif.org/species/2432614
Rhinolophidae,Rhinolophus mehelyi,https://www.gbif.org/species/2432667
Vespertilionidae,Barbastella barbastellus,https://www.gbif.org/species/2432582
Vespertilionidae,Eptesicus anatolicus,https://www.gbif.org/species/5787592
Vespertilionidae,Eptesicus bottae,https://www.gbif.org/species/2432346
Vespertilionidae,Eptesicus isabellinus,https://www.gbif.org/species/8400386
Vespertilionidae,Eptesicus nilssonii,https://www.gbif.org/species/7261816
Vespertilionidae,Eptesicus serotinus,https://www.gbif.org/species/2432359
Vespertilionidae,Hypsugo savii,https://www.gbif.org/species/7261861
Vespertilionidae,Myotis alcathoe,https://www.gbif.org/species/4266346
Vespertilionidae,Myotis bechsteinii,https://www.gbif.org/species/2432427
Vespertilionidae,Myotis blythii,https://www.gbif.org/species/2432414
Vespertilionidae,Myotis brandtii,https://www.gbif.org/species/7261875
Vespertilionidae,Myotis capaccinii,https://www.gbif.org/species/2432430
Vespertilionidae,Myotis crypticus,https://www.gbif.org/species/9918569
Vespertilionidae,Myotis dasycneme,https://www.gbif.org/species/2432452
Vespertilionidae,Myotis daubentonii,https://www.gbif.org/species/2432439
Vespertilionidae,Myotis davidii,https://www.gbif.org/species/4266349
Vespertilionidae,Myotis emarginatus,https://www.gbif.org/species/2432470
Vespertilionidae,Myotis escalerai,https://www.gbif.org/species/8181305
Vespertilionidae,Myotis myotis,https://www.gbif.org/species/2432416
Vespertilionidae,Myotis mystacinus,https://www.gbif.org/species/9754263
Vespertilionidae,Myotis nattereri,https://www.gbif.org/species/2432389
Vespertilionidae,Myotis punicus,https://www.gbif.org/species/4266337
Vespertilionidae,Nyctalus azoreum,https://www.gbif.org/species/5218523
Vespertilionidae,Nyctalus lasiopterus,https://www.gbif.org/species/5218525
Vespertilionidae,Nyctalus leisleri,https://www.gbif.org/species/5218522
Vespertilionidae,Nyctalus noctula,https://www.gbif.org/species/5218524
Vespertilionidae,Pipistrellus kuhlii,https://www.gbif.org/species/5218464
Vespertilionidae,Pipistrellus maderensis,https://www.gbif.org/species/5218476
Vespertilionidae,Pipistrellus nathusii,https://www.gbif.org/species/5218471
Vespertilionidae,Pipistrellus pipistrellus,https://www.gbif.org/species/5218465
Vespertilionidae,Pipistrellus pygmaeus,https://www.gbif.org/species/5707150
Vespertilionidae,Plecotus auritus,https://www.gbif.org/species/5218507
Vespertilionidae,Plecotus austriacus,https://www.gbif.org/species/5739437
Vespertilionidae,Plecotus gaisleri,https://www.gbif.org/species/10893276
Vespertilionidae,Plecotus kolombatovici,https://www.gbif.org/species/5739445
Vespertilionidae,Plecotus macrobullaris,https://www.gbif.org/species/5787719
Vespertilionidae,Plecotus sardus,https://www.gbif.org/species/5739436
Vespertilionidae,Plecotus teneriffae,https://www.gbif.org/species/5218519
Vespertilionidae,Vespertilio murinus,https://www.gbif.org/species/2432564
