Category,Name,Unit,Type,Definition,comments
acoustic_signature,CallBandwidth,kHz,Quantitative_continuous,The range of frequencies through which an echolocation call sweeps,
acoustic_signature,CallDuration,ms,Quantitative_continuous,Duration of a call,
acoustic_signature,CallEndFrequency,kHz,Quantitative_continuous,Frequency value measured at the end of the call,
acoustic_signature,InterpulseInterval,ms,Quantitative_continuous,Time interval between two consecutive calls,
acoustic_signature,CallMaxFrequency,kHz,Quantitative_continuous,Maximum frequency value of the call,
acoustic_signature,CallMidFrequency,kHz,Quantitative_continuous,Frequency of highest energy taken at half call duration,
acoustic_signature,CallMinFrequency,kHz,Quantitative_continuous,Minimum frequency value of the call,
acoustic_signature,CallPeakFrequency,kHz,Quantitative_continuous,Frequency with the greatest amount of energy in a call,
acoustic_signature,CallSlope,kHz/ms,Quantitative_continuous,"Total slope of the call, calculated from the difference in frequency and time from the point of highest frequency to the point of the characteristic frequency",
acoustic_signature,CallStartFrequency,kHz,Quantitative_continuous,Frequency value measured at the beginning of the call,
acoustic_signature,rateBuzz,Number_of_buzzes/hour,Quantitative_continuous,Number of feeding buzzes per hour,
acoustic_signature,buzzDuration,ms,Quantitative_continuous,Duration of a feeding buzz (including pre-buzz phase),
acoustic_signature,buzzPeakFrequency,kHz,Quantitative_continuous,Frequency with the greatest amount of energy in a feeding buzz call,
acoustic_signature,CallType,NA,Categorical_nominal,"Call type: FM (frequency modulated), FM/QCF (frequency modulated or quasi-constant frequency), CF+FM constant-frequency with modulated frequency components)",
life_history,MaxLongevity,years,Quantitative_discrete,Maximum record of longevity in the wild,
diet,FirstMainPreyItem,NA,Categorical_nominal,"Order of the main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",
diet,SecondMainPreyItem,NA,Categorical_nominal,"Order of the second main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",
diet,ThirdMainPreyItem,NA,Categorical_nominal,"Order of the third main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",
diet,DietaryNicheBreadth,NA,Quantitative_continuous,Dietary niche breadth calculated using Levin’s standardised index: higher values indicate large niche breadth,
diet,DietaryDiversity,NA,Quantitative_continuous,Dietary diversity calculated using Shannon-Weaver diversity index: higher values indicate highly diverse diet,
diet,DietType,NA,Categorical_nominal,"Diet type: insectivorous, frugivorous",
diet,TrophicSpecialization,index,Quantitative_continuous,Trophic specialisation calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given prey order,
foraging_habitat,SpeciesHabitatSpecializationIndex,NA,Quantitative_continuous,Species habitat specialisation index: degree of specialisation of a species in its use of a habitat for foraging/commuting calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given habitat.,
foraging_habitat,DeciduousForestAffinitySmallScale,NA,Quantitative_continuous,Estimated response to decideous forest at 50 m radius buffer scale calculated from generalized linear mixed model,
foraging_habitat,ConiferousForestAffinitySmallScale,NA,Quantitative_continuous,Estimated response to coniferous forest at 50 m radius buffer scale calculated from generalized linear mixed model,
foraging_habitat,DenseUrbanAreaAffinitySmallScale,NA,Quantitative_continuous,Estimated response to dense urban area at 50 m radius buffer scale calculated from generalized linear mixed model,
foraging_habitat,FreshwaterAffinitySmallScale,NA,Quantitative_continuous,Estimated response to freshwater at 50 m radius buffer scale calculated from generalized linear mixed model,
foraging_habitat,CroplandAffinitySmallScale,NA,Quantitative_continuous,Estimated response to cropland at 50 m radius buffer scale calculated from generalized linear mixed model,
foraging_habitat,GrasslandAffinitySmallScale,NA,Quantitative_continuous,Estimated response to grassland at 50 m radius buffer scale calculated from generalized linear mixed model,
