verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
Myotis_bechsteinii,CallDuration,4.3,0.8,19,mean,hand-release,ms,65,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_blythii,CallDuration,3.3,0.7,21,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_brandtii,CallDuration,4.6,1.1,24,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_capaccinii,CallDuration,5.2,1.1,21,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_daubentonii,CallDuration,3.9,0.9,23,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_emarginatus,CallDuration,3.6,0.7,19,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_myotis,CallDuration,6,1.7,28,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_mystacinus,CallDuration,3.6,0.5,14,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Myotis_nattereri,CallDuration,4.1,1.1,27,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
Barbastella_barbastellus,CallDuration,4.3,1,23,mean,hand-release,ms,100,call,Switzerland,Obrist et al. (2004),"Obrist, M.K., Boesch, R. & FlÃ¼ckiger, P.F. (2004) Variability in echolocation call design of 26 Swiss bat species: consequences, limits and options for automated field identification with a synergetic pattern recognition approach. Mammalia, 68, 307-322.",NA,NA,NA
