,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Barbastella_barbastellus,SpeciesThermalIndex,9.07,NA,NA,NA,modelling,NA,588,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
2,Eptesicus_nilssonii,SpeciesThermalIndex,4.34,NA,NA,NA,modelling,NA,665,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
3,Eptesicus_serotinus,SpeciesThermalIndex,9.43,NA,NA,NA,modelling,NA,883,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
4,Hypsugo_savii,SpeciesThermalIndex,11.76,NA,NA,NA,modelling,NA,244,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
5,Miniopterus_schreibersii,SpeciesThermalIndex,12.3,NA,NA,NA,modelling,NA,442,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
6,Myotis_bechsteinii,SpeciesThermalIndex,9.37,NA,NA,NA,modelling,NA,436,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
7,Myotis_blythii,SpeciesThermalIndex,11.1,NA,NA,NA,modelling,NA,346,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
8,Myotis_brandtii,SpeciesThermalIndex,6.67,NA,NA,NA,modelling,NA,464,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
9,Myotis_daubentonii,SpeciesThermalIndex,8.3,NA,NA,NA,modelling,NA,1127,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
10,Myotis_emarginatus,SpeciesThermalIndex,10.69,NA,NA,NA,modelling,NA,412,grid cells of 50 × 50 km,NA,NA,Full_range,Barbaro et al. (2019),"Barbaro, L., Allan, E., Ampoorter, E., Castagneyrol, B., Charbonnier, Y., De Wandeler, H., Kerbiriou, C., Milligan, H.T., Vialatte, A. & Carnol, M. (2019) Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests. Proceedings of the Royal Society B, 286, 20182193.",NA,NA,NA
