,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Barbastella_barbastellus,FirstMainPreyItem,Lepidoptera,NA,NA,NA,DNA-based_identification,NA,11,individual,NA,pellet,UnitedKingdom,Zeale et al. (2011),"Zeale, M.R., Butlin, R.K., Barker, G.L., Lees, D.C. & Jones, G., (2011). Taxonâ€specific PCR for DNA barcoding arthropod prey in bat faeces.Â Molecular Ecology Resources,Â 11, 236-244.",NA,NA,NA
2,Barbastella_barbastellus,SecondMainPreyItem,Diptera,NA,NA,NA,DNA-based_identification,NA,11,individual,NA,pellet,UnitedKingdom,Zeale et al. (2011),"Zeale, M.R., Butlin, R.K., Barker, G.L., Lees, D.C. & Jones, G., (2011). Taxonâ€specific PCR for DNA barcoding arthropod prey in bat faeces.Â Molecular Ecology Resources,Â 11, 236-244.",NA,NA,NA
3,Barbastella_barbastellus,ThirdMainPreyItem,Arachnida,NA,NA,NA,DNA-based_identification,NA,11,individual,NA,pellet,UnitedKingdom,Zeale et al. (2011),"Zeale, M.R., Butlin, R.K., Barker, G.L., Lees, D.C. & Jones, G., (2011). Taxonâ€specific PCR for DNA barcoding arthropod prey in bat faeces.Â Molecular Ecology Resources,Â 11, 236-244.",NA,NA,NA
4,Barbastella_barbastellus,FirstMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,15,individual,NA,pellet,Europe,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
5,Barbastella_barbastellus,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,15,individual,NA,pellet,Europe,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
6,Barbastella_barbastellus,ThirdMainPreyItem,Neuroptera,NA,NA,NA,morphological_analysis,NA,15,individual,NA,pellet,Europe,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
7,Barbastella_barbastellus,FirstMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,40,pellet,Germany,Rydell et al. (1996),"Rydell, J., Natuschke, G., Theiler, A., & Zingg, P. E. (1996). Food habits of the barbastelle bat Barbastella barbastellus. Ecography, 19, 62-66.",NA,NA,NA
8,Barbastella_barbastellus,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,40,pellet,Germany,Rydell et al. (1996),"Rydell, J., Natuschke, G., Theiler, A., & Zingg, P. E. (1996). Food habits of the barbastelle bat Barbastella barbastellus. Ecography, 19, 62-66.",NA,NA,NA
9,Barbastella_barbastellus,ThirdMainPreyItem,Trichoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,40,pellet,Germany,Rydell et al. (1996),"Rydell, J., Natuschke, G., Theiler, A., & Zingg, P. E. (1996). Food habits of the barbastelle bat Barbastella barbastellus. Ecography, 19, 62-66.",NA,NA,NA
10,Barbastella_barbastellus,FirstMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,160,pellet,Switzerland,Rydell et al. (1996),"Rydell, J., Natuschke, G., Theiler, A., & Zingg, P. E. (1996). Food habits of the barbastelle bat Barbastella barbastellus. Ecography, 19, 62-66.",NA,NA,NA
11,Barbastella_barbastellus,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,160,pellet,Switzerland,Rydell et al. (1996),"Rydell, J., Natuschke, G., Theiler, A., & Zingg, P. E. (1996). Food habits of the barbastelle bat Barbastella barbastellus. Ecography, 19, 62-66.",NA,NA,NA
