,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Rousettus_aegyptiacus,AltitudinalMigration,possible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experts,experts,NA,NA,NA
2,Rhinolophus_hipposideros,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austria,Hutterer et al. (2005),"Hutterer, R., Ivanova, T., Meyer Cords, C. & Rodrigues, L. (2005). Bat migrations in Europe: a review of banding data and literature. Naturschutz und Biologische Vielfalt, 28, pp 161.",NA,NA,NA
3,Eptesicus_nilssonii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Holzhaider & Zahn (2001),"Holzhaider, J., & Zahn, A. (2001). Bats in the Bavarian Alps: species composition and utilization of higher altitudes in summer. Mammalian Biology, 66(3), 144-154.",NA,NA,NA
4,Eptesicus_serotinus,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slovakia,Kaňuch &  Krištín (2006),"Kaňuch, P., & Krištín, A. (2006). Altitudinal distribution of bats in the Pol’ana Mts area (Central Slovakia). Biologia, 61(5), 605-610.",NA,NA,NA
5,Myotis_brandtii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Holzhaider & Zahn (2001),"Holzhaider, J., & Zahn, A. (2001). Bats in the Bavarian Alps: species composition and utilization of higher altitudes in summer. Mammalian Biology, 66(3), 144-154.",NA,NA,NA
6,Myotis_daubentonii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switzerland,Leuzinger & Brossard (1994),"Leuzinger, Y. & Brossard, C. (1994) Répartition de M. daubentonii en fonction du sexe et de la periode de l’année dans le Jura bernois. Résultats preliminaries. Mitteilungen der Naturforschenden Gesellschaft Schaffhausen 39, 135–143",NA,NA,NA
7,Myotis_daubentonii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italy,Russo (2002),"Russo, D. (2002) Elevation affects the distribution of the two sexes in Daubenton’s bats Myotis daubentonii (Chiroptera: Vespertilionidae) from Italy. Mammalia, 66, 543-551.",NA,NA,NA
8,Myotis_daubentonii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,UnitedKingdom,Senior et al. (2005),"Senior, P., Butlin, R.K. & Altringham, J.D. (2005) Sex and segregation in temperate bats. Proceedings of the Royal Society B: Biological Sciences, 272, 2467-2473.",NA,NA,NA
9,Myotis_daubentonii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Encarnação et al. (2005),"Encarnação, J. A., Kierdorf, U., Holweg, D., Jasnoch, U., & Wolters, V. (2005). Sex‐related differences in roost‐site selection by Daubenton's bats Myotis daubentonii during the nursery period. Mammal Review, 35(3‐4), 285-294.",NA,NA,NA
10,Myotis_daubentonii,AltitudinalMigration,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slovakia,Kaňuch &  Krištín (2006),"Kaňuch, P., & Krištín, A. (2006). Altitudinal distribution of bats in the Pol’ana Mts area (Central Slovakia). Biologia, 61(5), 605-610.",NA,NA,NA
