,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Barbastella_barbastellus,SpeciesHabitatSpecializationIndex,2.18,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
2,Eptesicus_serotinus,SpeciesHabitatSpecializationIndex,0.94,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
3,Hypsugo_savii,SpeciesHabitatSpecializationIndex,1.55,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
4,Miniopterus_schreibersii,SpeciesHabitatSpecializationIndex,1.64,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
5,Myotis_alcathoe,SpeciesHabitatSpecializationIndex,1.96,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
6,Myotis_bechsteinii,SpeciesHabitatSpecializationIndex,4.48,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
7,Myotis_capaccinii,SpeciesHabitatSpecializationIndex,5.36,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
8,Myotis_daubentonii,SpeciesHabitatSpecializationIndex,4.1,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
9,Myotis_emarginatus,SpeciesHabitatSpecializationIndex,2.33,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,NA,NA
10,Myotis_myotis,SpeciesHabitatSpecializationIndex,1.03,NA,NA,NA,Modelling,NA,3596,night,3596,site,France,Dubos et al. (2021),"Dubos, N., Kerbiriou, C., Julien, J.-F., Barbaro, L., Barré, K., Claireau, F., Froidevaux, J., Le Viol, I., Lorrillière, R., Roemer, C., Verfaillie, F. & Bas, Y. (2021) Going beyond species richness and abundance: robustness of community specialisation measures in short acoustic surveys. Biodiversity and Conservation, 30, 343-363.
",Caution:_modelled_from_acoustic_data_only,M.myotis/M.blythii_pooled_together,NA
