verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
Rousettus_aegyptiacus,MaxLongevity,23,NA,NA,NA,NA,years,NA,NA,NA,Kulzer (1979),"Kulzer, E. (1979). Physiological ecology and geographical range in the fruit-eating cave bat genus Rousettus Gray 1921: a review. Bonner zoologische Beiträge, 30, 233-275.",quality:_Accept,NA,NA
Barbastella_barbastellus,MaxLongevity,23,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Barbastella_barbastellus,MaxLongevity,21,NA,NA,NA,NA,years,NA,NA,NA,Abel (1970),"Abel, G. (1970). Zum Höchstalter der Mopsfledermaus (Barbastella barbastellus). Myotis, 8, 38.",quality:_Accept,NA,NA
Eptesicus_nilssonii,MaxLongevity,20,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Eptesicus_nilssonii,MaxLongevity,16,NA,NA,NA,NA,years,NA,NA,Estonia,Masing et al. (1999),"Masing, M., Poots, L., Randla, T., & Lutsar, L. (1999). 50 years of bat-ringing in Estonia: methods and the main results. Plecotus et al, 2, 20.",quality:_Accept,NA,NA
Eptesicus_serotinus,MaxLongevity,21,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Eptesicus_serotinus,MaxLongevity,24,NA,NA,NA,NA,years,NA,NA,Germany,Rudolph (2004),"Rudolph, B. U. (2004). Breitflügelfledermaus Eptesicus serotinus (Schreber, 1774). Fledermäuse in Bayern. Ulmer Verlag. Stuttgart, 305-313.",quality:_Accept,NA,NA
Miniopterus_schreibersii,MaxLongevity,22,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Myotis_bechsteinii,MaxLongevity,21,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Myotis_blythii,MaxLongevity,33,NA,NA,NA,NA,years,NA,NA,Switzerland,Arlettaz et al. (2002),"Arlettaz, R., Christe, P. & Desfayes, M. (2002). 33 years, a new longevity record for a European bat. Mammalia, 66, 441-442.",quality:_Accept,NA,NA
Myotis_brandtii,MaxLongevity,41,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Myotis_dasycneme,MaxLongevity,21,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
Myotis_daubentonii,MaxLongevity,28,NA,NA,NA,NA,years,NA,NA,NA,De Magalhaes & Costa (2019),"De Magalhaes, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life‐history traits. Journal of evolutionary biology, 22, 1770-1774.",quality:_Accept,NA,NA
