verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
Barbastella_barbastellus,ForearmLength,38.86,1.69,4.35,mean,capture,mm,3260,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Barbastella_barbastellus,ThirdDigitLength,70.6,2.4,3.4,mean,capture,mm,120,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Barbastella_barbastellus,FifthDigitLength,53.95,1.89,3.5,mean,capture,mm,164,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Barbastella_barbastellus,BodyMass,8.39,0.89,10.61,mean,capture,g,334,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_nilssonii,ForearmLength,39.46,1.02,2.58,mean,capture,mm,65,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_nilssonii,ThirdDigitLength,71,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_nilssonii,FifthDigitLength,55,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_nilssonii,BodyMass,10.71,1.5,14.01,mean,capture,g,7,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_serotinus,ForearmLength,51.84,1.73,3.34,mean,capture,mm,2381,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_serotinus,ThirdDigitLength,91.34,3.35,3.67,mean,capture,mm,35,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_serotinus,FifthDigitLength,66.26,2.33,3.52,mean,capture,mm,45,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Eptesicus_serotinus,BodyMass,22.08,3.05,13.81,mean,capture,g,307,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Hypsugo_savii,ForearmLength,33.15,1.33,4.01,mean,capture,mm,2425,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Hypsugo_savii,ThirdDigitLength,58.62,2.09,3.57,mean,capture,mm,39,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Hypsugo_savii,FifthDigitLength,43.82,1.73,3.95,mean,capture,mm,55,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Hypsugo_savii,BodyMass,7.12,1.39,19.52,mean,capture,g,203,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Miniopterus_schreibersii,ForearmLength,45.05,0.84,1.86,mean,capture,mm,2837,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Miniopterus_schreibersii,ThirdDigitLength,88.87,1.73,1.95,mean,capture,mm,152,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Miniopterus_schreibersii,FifthDigitLength,54.58,0.89,1.63,mean,capture,mm,137,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Miniopterus_schreibersii,BodyMass,11.89,1.47,12.36,mean,capture,g,267,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_alcathoe,ForearmLength,31.61,0.8,2.53,mean,capture,mm,779,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
