,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Barbastella_barbastellus,Fungi,Hyphopichia burtonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,UnitedKingdom,Simpson et al. (2013),"Simpson, V. R., Borman, A. M., Fox, R. I., & Mathews, F. (2013). Cutaneous mycosis in a Barbastelle bat (Barbastella barbastellus) caused by Hyphopichia burtonii. Journal of Veterinary Diagnostic Investigation, 25(4), 551-554",NA,NA,NA
2,Barbastella_barbastellus,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Zukal et al. (2014),"Zukal, J., Bandouchova, H., Bartonicka, T., Berkova, H., Brack, V., Brichta, J., ... & Pikula, J. (2014). White-nose syndrome fungus: a generalist pathogen of hibernating bats. PLoS One, 9(5), e97224.",with diagnostic symptoms,NA,NA
3,Eptesicus_nilssonii,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Zukal et al. (2014),"Zukal, J., Bandouchova, H., Bartonicka, T., Berkova, H., Brack, V., Brichta, J., ... & Pikula, J. (2014). White-nose syndrome fungus: a generalist pathogen of hibernating bats. PLoS One, 9(5), e97224.",with diagnostic symptoms,NA,NA
4,Myotis_blythii,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
5,Myotis_daubentonii,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
6,Myotis_myotis,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
7,Miniopterus_schreibersii,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Zukal et al. (2016),"Zukal, J., Bandouchova, H., Brichta, J., Cmokova, A., Jaron, K. S., Kolarik, M., ... & MartÃ­nkovÃ¡, N. (2016). White-nose syndrome without borders: Pseudogymnoascus destructans infection tolerated in Europe and Palearctic Asia but not in North America. Scientific reports, 6(1), 1-17.",with diagnostic symptoms,NA,NA
8,Myotis_bechsteinii,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
9,Myotis_brandtii,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
10,Plecotus_auritus,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
11,Myotis_emarginatus,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
12,Rhinolophus_hipposideros,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
13,Rhinolophus_euryale,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
14,Myotis_nattereri,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
15,Myotis_dasycneme,Fungi,Pseudogymnoascus destructans,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,Puechmaille et al. (2011),"Puechmaille SJ, Wibbelt G, Korn V, Fuller H, Forget F, MÃ¼hldorfer K, Kurth A, Bogdanowicz W, Borel C, Bosch T (2011) Pan-European distribution of white-nose syndrome fungus (Geomyces destructans) not associated with mass mortality. PLOS ONE 6 (4):e19167",with diagnostic symptoms,NA,NA
