,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,Short ref,Full ref,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Barbastella_barbastellus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Pohl (1961),"Pohl, H. (1961) Temperaturregulation und Tagesperiodik des Stoffwechsels bei Winterschl.fern. Zeitschrift fuÌˆr vergleichende Physiologie 45, 109â€“153.",NA,NA,NA
2,Eptesicus_bottae,TorporBehavior,no,NA,NA,NA,NA,NA,NA,individual,NA,Munoz-Garcia et al. (2016),"MuÃ±oz-Garcia, A., LarraÃ­n, P., Ben-Hamo, M., Cruz-Neto, A., Williams, J. B., Pinshow, B., & Korine, C. (2016) Metabolic rate, evaporative water loss and thermoregulatory state in four species of bats in the Negev desert.Â Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Â 191, 156-165.",NA,NA,NA
5,Eptesicus_nilssonii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Rydell (1993),"Rydell, J. (1993) Eptesicus nilssonii.Â Mammalian species, 430, 1-7.",NA,NA,NA
6,Eptesicus_serotinus,BasalMetabolicRate,43.1,NA,NA,Mean,NA,ml O2/h,NA,individual,NA,Speakman et al. (2004),"Speakman, J. R., Lancaster, W. C., Ward, S., Jones, G., & Cole, K. C. (2004) Energy cost of echolocation in stationary insectivorous bats. In Echolocation in bats and dolphins (pp. 361-365) Chicago University Press.",Body_mass(g):_27,NA,Quality:_Rejected
7,Eptesicus_serotinus,BasalMetabolicRatePerc,164,NA,NA,Mean,NA,%,NA,individual,NA,Speakman et al. (2004),"Speakman, J. R., Lancaster, W. C., Ward, S., Jones, G., & Cole, K. C. (2004) Energy cost of echolocation in stationary insectivorous bats. In Echolocation in bats and dolphins (pp. 361-365) Chicago University Press.",Body_mass(g):_27,NA,Quality:_Rejected
8,Eptesicus_serotinus,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Poland,Lesinski (1986),"Lesinski, G. (1986) Ecology of bats hibernating underground in central Poland. Acta Theriol. 31: 507 -52 1.",NA,NA,NA
9,Hypsugo_savii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Rughetti et al. (2014),"Rughetti, M., & Toffoli, R. (2014) Sex-specific seasonal change in body mass in two species of vespertilionid bats.Â Acta Chiropterologica,Â 16(1), 149-155.",NA,NA,NA
16,Miniopterus_schreibersii,DigestiveEfficiency,NA,NA,NA,NA,NA,%,NA,individual,NA,Kovtun and Zhukova 1994,"Kovtun, M. F., & Zhukova, N. F. (1994) Feeding and digestion intensity in chiropterans of different trophic groups. Folia Zoologica, 43(4), 377-386.",NA,NA,NA
17,Myotis_alcathoe,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Poland,Sachanowicz et al. (2012),"Sachanowicz, K., Mleczek, T., Gottfried, T., Ignaczak, M., Piksa, K., & Piskorski, M. (2012) Winter records of Myotis alcathoe in southern Poland and comments on identification of the species during hibernation.Â Acta Zoologica Cracoviensia-Series A: Vertebrata,Â 55(1), 97-101.",NA,NA,NA
18,Myotis_bechsteinii,BasalMetabolicRate,9.51,NA,NA,Mean,NA,ml O2/h,17,individual,NA,Becker et al. (2012),"Becker, N.I., EncarnaÃ§Ã£o, J.A., Kalko, E.K., & Tschapka, M., (2012) The effects of reproductive state on digestive efficiency in three sympatric bat species of the same guild. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 386â€“390.",Body_mass(g):_9.4,NA,Quality:_Accepted
19,Myotis_bechsteinii,BasalMetabolicRatePerc,77.95,NA,NA,Mean,NA,%,17,individual,NA,Becker et al. (2012),"Becker, N.I., EncarnaÃ§Ã£o, J.A., Kalko, E.K., & Tschapka, M., (2012) The effects of reproductive state on digestive efficiency in three sympatric bat species of the same guild. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 386â€“390.",Body_mass(g):_9.4,NA,Quality:_Accepted
20,Myotis_bechsteinii,BasalMetabolicRate,9.6,NA,NA,Mean,NA,ml O2/h,23,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_8.9,NA,Quality:_Accepted
21,Myotis_bechsteinii,BasalMetabolicRatePerc,81.89,NA,NA,Mean,NA,%,23,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_8.9,NA,Quality:_Accepted
22,Myotis_blythii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Postawa & Nagy (2016),"Postawa, T., & Nagy, Z. (2016) Variation of parasitism patterns in bats during hibernation: the effect of host species, resources, health status, and hibernation period.Â Parasitology research,Â 115(10), 3767-3778.",NA,NA,NA
23,Myotis_brandtii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Masing & Lustar (2007),"Masing, M., & Lutsar, L. (2007) Hibernation temperatures in seven species of sedentary bats (Chiroptera) in northeastern Europe.Â Acta Zoologica Lituanica,Â 17(1), 47-55.",NA,NA,NA
24,Myotis_capaccinii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,Greece,Papadatou et al. (2008),"Papadatou, E., Butlin, R. K., & Altringham, J. D. (2008) Seasonal roosting habits and population structure of the long-fingered bat Myotis capaccinii in Greece.Â Journal of Mammalogy,Â 89(2), 503-512.",NA,NA,NA
25,Myotis_dasycneme,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Masing & Lustar (2007),"Masing, M., & Lutsar, L. (2007) Hibernation temperatures in seven species of sedentary bats (Chiroptera) in northeastern Europe.Â Acta Zoologica Lituanica,Â 17(1), 47-55.",NA,NA,NA
26,Myotis_daubentonii,BasalMetabolicRate,7.8,NA,NA,Mean,NA,ml O2/h,15,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_7.8,NA,Quality:_Accepted
27,Myotis_daubentonii,BasalMetabolicRatePerc,73.25,NA,NA,Mean,NA,%,15,individual,NA,Becker et al. (2013),"Becker, N.I., EncarnaÃ§Ã£o, J. A., Tschapka, M., & Kalko, E.K.V., (2013) Energetics and life-history of bats in comparison to small mammals. Ecological Research 28,249â€“258.",Body_mass(g):_7.8,NA,Quality:_Accepted
