,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Rousettus_aegyptiacus,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
2,Rhinolophus_blasii,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
3,Rhinolophus_euryale,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
4,Rhinolophus_ferrumequinum,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
5,Rhinolophus_hipposideros,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
6,Rhinolophus_mehelyi,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
7,Barbastella_barbastellus,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
8,Eptesicus_anatolicus,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
9,Eptesicus_bottae,FirstMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
10,Eptesicus_isabellinus,FirstMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
11,Eptesicus_nilssonii,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
12,Eptesicus_serotinus,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
13,Hypsugo_savii,FirstMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
14,Myotis_alcathoe,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
15,Myotis_bechsteinii,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
16,Myotis_blythii,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
17,Myotis_brandtii,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
18,Myotis_capaccinii,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
19,Myotis_crypticus,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
20,Myotis_dasycneme,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
21,Myotis_daubentonii,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
22,Myotis_davidii,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
23,Myotis_emarginatus,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
24,Myotis_escalerai,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
25,Myotis_myotis,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
26,Myotis_mystacinus,FirstMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
27,Myotis_nattereri,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
28,Myotis_punicus,FirstMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
29,Nyctalus_lasiopterus,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
30,Nyctalus_leisleri,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
31,Nyctalus_noctula,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
32,Nyctalus_azoreum,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
33,Pipistrellus_kuhlii,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
34,Pipistrellus_maderensis,FirstMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
35,Pipistrellus_nathusii,FirstMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
36,Pipistrellus_pipistrellus,FirstMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
