,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,coordinateX-WGS84,coordinateY-WGS84,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
1,Rhinolophus_euryale,HomeRange,94.89,56.04,0.59,Mean,MCP&HomingIn/triangulation,ha,9,individual,1,roost,Spain,43.393105,-2.695217,Aihartza et al. (2003),"Aihartza, J. R., Garin, I., Goiti, U., Zabala, J., & Zuberogoitia, I. (2003). Spring habitat selection by the Mediterranean horseshoe bat (Rhinolophus euryale) in the Urdaibai Biosphere Reserve (Basque Country). Mammalia, 67(1), 25-32.",Sex_Mixed,Age_Mixed,NA
2,Rhinolophus_euryale,MaxNightlyDistance,6333.33,2898.71,0.46,Mean,NA&HomingIn/triangulation,m,9,individual,1,roost,Spain,43.393105,-2.695217,Aihartza et al. (2003),"Aihartza, J. R., Garin, I., Goiti, U., Zabala, J., & Zuberogoitia, I. (2003). Spring habitat selection by the Mediterranean horseshoe bat (Rhinolophus euryale) in the Urdaibai Biosphere Reserve (Basque Country). Mammalia, 67(1), 25-32.",Sex_Mixed,Age_Mixed,NA
3,Myotis_capaccinii,HomeRange,3.93,3.17,0.81,Mean,MCP100&HomingIn,ha,17,individual,1,roost,Spain,39.05441,-0.617542,Almenar et al. (2006),"Almenar, D., Aihartza, J., Goiti, U., Salsamendi, E., & Garin, I. (2006). Habitat selection and spatial use by the trawling bat Myotis capaccinii (Bonaparte, 1837). Acta Chiropterologica, 8(1), 157-167.",Sex_Mixed,Age_Adult/Subadult,NA
4,Myotis_capaccinii,MaxNightlyDistance,6459.4,3639.44,0.56,Mean,NA&HomingIn,m,17,individual,1,roost,Spain,39.05441,-0.617542,Almenar et al. (2006),"Almenar, D., Aihartza, J., Goiti, U., Salsamendi, E., & Garin, I. (2006). Habitat selection and spatial use by the trawling bat Myotis capaccinii (Bonaparte, 1837). Acta Chiropterologica, 8(1), 157-167.",Sex_Mixed,Age_Adult/Subadult,NA
5,Myotis_capaccinii,MeanNightlyDistance,4856,1061.62,0.22,Mean,NA&HomingIn,m,17,individual,1,roost,Spain,39.05441,-0.617542,Almenar et al. (2006),"Almenar, D., Aihartza, J., Goiti, U., Salsamendi, E., & Garin, I. (2006). Habitat selection and spatial use by the trawling bat Myotis capaccinii (Bonaparte, 1837). Acta Chiropterologica, 8(1), 157-167.",Sex_Mixed,Age_Adult/Subadult,NA
6,Myotis_capaccinii,MaxNightlyDistance,7355.56,3300.22,0.45,Mean,NA&HomingIn,m,45,individual,1,roost,Spain,NA,NA,Almenar et al. (2011),"Almenar, D., Aihartza, J., Goiti, U., Salsamendi, E., & Garin, I. (2011). Reproductive and age classes do not change spatial dynamics of foraging long-fingered bats (Myotis capaccinii). European Journal of Wildlife Research, 57(4), 929-937.",Sex_Mixed,Age_Mixed,NA
7,Myotis_capaccinii,MeanNightlyDistance,5684.44,2872.89,0.51,Mean,NA&HomingIn,m,45,individual,1,roost,Spain,NA,NA,Almenar et al. (2011),"Almenar, D., Aihartza, J., Goiti, U., Salsamendi, E., & Garin, I. (2011). Reproductive and age classes do not change spatial dynamics of foraging long-fingered bats (Myotis capaccinii). European Journal of Wildlife Research, 57(4), 929-937.",Sex_Mixed,Age_Mixed,NA
8,Barbastella_barbastellus,HomeRange,527.4,421.7,0.8,Mean,MCP100&HomingIn,ha,20,individual,1,roost,Italy,42.57,13.96,Ancillotto et al. (2015),"Ancillotto, L., Cistrone, L., Mosconi, F., Jones, G., Boitani, L., & Russo, D. (2015). The importance of non-forest landscapes for the conservation of forest bats: lessons from barbastelles (Barbastella barbastellus). Biodiversity and Conservation, 24(1), 171-185.",Sex_Female,Age_Mixed,NA
9,Barbastella_barbastellus,HomeRange,133,155.8,1.17,Mean,Kernel50&HomingIn,ha,20,individual,1,roost,Italy,42.57,13.96,Ancillotto et al. (2015),"Ancillotto, L., Cistrone, L., Mosconi, F., Jones, G., Boitani, L., & Russo, D. (2015). The importance of non-forest landscapes for the conservation of forest bats: lessons from barbastelles (Barbastella barbastellus). Biodiversity and Conservation, 24(1), 171-185.",Sex_Female,Age_Mixed,NA
10,Barbastella_barbastellus,MaxNightlyDistance,1900,800,0.42,Mean,NA&HomingIn,m,20,individual,1,roost,Italy,42.57,13.96,Ancillotto et al. (2015),"Ancillotto, L., Cistrone, L., Mosconi, F., Jones, G., Boitani, L., & Russo, D. (2015). The importance of non-forest landscapes for the conservation of forest bats: lessons from barbastelles (Barbastella barbastellus). Biodiversity and Conservation, 24(1), 171-185.",Sex_Female,Age_Mixed,NA
